LSOA,Code,Local Name,Quadrant,IMD,StudentQuotient,Pop
Bath and North East Somerset 011A,E01014461,Twerton South,1,28.346,1.21978022,1201
Bath and North East Somerset 011B,E01014462,Whiteway West,1,36.887,1.184210526,1552
Bath and North East Somerset 011C,E01014463,Twerton West,1,46.519,1.144067797,1569
Bath and North East Somerset 011D,E01014464,Twerton,1,43.21,3.5,1575
Bath and North East Somerset 012C,E01014481,Widcombe St Marks,1,6.576,7.5,1502
Bath and North East Somerset 012F,E01014484,Westmoreland,1,8.8,9.863636364,1614
Bath and North East Somerset 013A,E01014473,Oldfield Park West,1,6.611,7.841772152,1757
Bath and North East Somerset 013B,E01014474,Twerton East,1,17.32,5.026315789,1226
Bath and North East Somerset 013C,E01014475,Westmoreland West,1,9.312,23.2125,3193
Bath and North East Somerset 014A,E01014435,Oldfield Park North,1,5.224,20.16666667,1733
Bath and North East Somerset 014B,E01014436,Oldfield Park,1,6.498,11.5212766,1626
Bath and North East Somerset 014C,E01014437,Moorlands,1,21.187,1.23,1480
Bath and North East Somerset 014D,E01014438,Southdown East,1,21.346,3.096774194,1308
Bath and North East Somerset 015A,E01014455,Southdown North,1,17.928,1.392857143,1333
Bath and North East Somerset 015B,E01014456,Southdown,1,9.439,1.841584158,1535
Bath and North East Somerset 015C,E01014457,Lower Twerton West,1,4.98,1.598684211,1386
Bath and North East Somerset 017A,E01014415,Bear Flat,1,2.773,1.308724832,2110
Bath and North East Somerset 017B,E01014416,St. Martins,1,8.923,1.093023256,1768
Bath and North East Somerset 017C,E01014417,Bloomfield,1,4.778,1.003597122,1796
Bath and North East Somerset 019A,E01014431,Odd Down North,1,18.593,1.375,1308
Bath and North East Somerset 019B,E01014432,Odd Down,1,17.845,1.815789474,1342
Bath and North East Somerset 019C,E01014433,Odd Down South,1,21.659,1.026315789,1446
Bath and North East Somerset 019D,E01014434,Kingsway,1,5.491,2.12755102,1902
Bath and North East Somerset 007A,E01014370,Central,2,28.329,7.3125,1966
Bath and North East Somerset 007B,E01014371,Central East,2,17.815,5.0625,1768
Bath and North East Somerset 012A,E01014380,Claverton Down,2,2.718,46.90625,4428
Bath and North East Somerset 012B,E01014381,Bathwick,2,2.92,1.239130435,1517
Bath and North East Somerset 012D,E01014482,Lyncombe & Widcombe,2,4.544,0.310055866,1156
Bath and North East Somerset 012E,E01014483,Widcombe North,2,11.326,4.183098592,1692
Bath and North East Somerset 018A,E01014387,Fox Hill South,2,8.858,1.536144578,1262
Bath and North East Somerset 018B,E01014388,Combe Down East,2,3.64,0.681818182,1317
Bath and North East Somerset 018C,E01014389,Combe Down West,2,4.877,1.277777778,1437
Bath and North East Somerset 018D,E01014390,Fox Hill North,2,43.364,1.111111111,1585
Bath and North East Somerset 004A,E01014409,Larkhall,3,18.456,1.044117647,1652
Bath and North East Somerset 004B,E01014410,Fairfield Park North,3,1.814,0.707317073,1758
Bath and North East Somerset 004C,E01014411,Lower Swainswick,3,6.254,0.786206897,2098
Bath and North East Somerset 006A,E01014465,Fairfield Park South,3,7.068,1.121359223,1593
Bath and North East Somerset 006B,E01014466,Snow Hill,3,21.307,1.395,1331
Bath and North East Somerset 006C,E01014467,Grosvenor,3,6.925,2.116438356,1659
Bath and North East Somerset 006D,E01014468,Walcot,3,6.562,2.688311688,1571
Bath and North East Somerset 007D,E01014412,Beacon Hill,3,4.201,1.953488372,1474
Bath and North East Somerset 007E,E01014413,Lansdown North,3,4.242,0.473214286,1789
Bath and North East Somerset 007F,E01014414,Lansdown South,3,20.079,6.313953488,1598
Bath and North East Somerset 005A,E01014477,Upper Weston West,4,3.675,1.006578947,1482
Bath and North East Somerset 005B,E01014478,Upper Weston,4,22.668,0.873626374,1229
Bath and North East Somerset 005C,E01014479,Weston Park,4,4.325,1.183098592,1506
Bath and North East Somerset 005D,E01014480,Weston Village,4,19.133,1.747058824,1570
Bath and North East Somerset 008A,E01014427,Locksbrook,4,10.302,2.92,1429
Bath and North East Somerset 008B,E01014428,Combe Park,4,4.566,0.986486486,1454
Bath and North East Somerset 008C,E01014429,Brassmill,4,5.134,1.276859504,1634
Bath and North East Somerset 008D,E01014430,Newbridge,4,7.294,0.774725275,1605
Bath and North East Somerset 009A,E01014405,Lower Weston,4,4.161,3.957142857,2194
Bath and North East Somerset 007C,E01014372,Central North,2,18.139,3.454545455,2007
Bath and North East Somerset 009C,E01014407,Kingsmead,2,33.376,12.4875,1318
Bath and North East Somerset 013D,E01014476,Lower Twerton East,1,5.027,9.354545455,1503
Bath and North East Somerset 009E,E01033080,Victoria Park,2,17.98,6.852941176,2246
Bath and North East Somerset 015D,E01014458,Whiteway,1,44.511,1.289719626,1372